"Timestamp";"P_predicted";"Price";"PriceAverage";"PricePercentile";"PriceLuminusBuy";"EstSOC";"EstUsage";"EstPowerBalance";"ChargeBattFromGrid";"ChargeBattFromGrid100"
"13/12/2025 09:15:00";"267";"101,35";"97,9";"90,83";"0,250966978";"19,2";"820";"-553";"False";"0"
"13/12/2025 09:30:00";"414";"99,99";"97,96";"97,7";"0,2494994292";"18,18";"820";"-406";"False";"0"
"13/12/2025 09:45:00";"578";"96,79";"97,88";"92,11";"0,24604637320000003";"17,58";"820";"-242";"False";"0"
"13/12/2025 10:00:00";"789";"100,87";"97,74";"103,43";"0,2504490196";"17,43";"850";"-61";"True";"100"
"13/12/2025 10:15:00";"1000";"97,37";"97,64";"106,74";"0,2466722396";"17,8";"850";"150";"False";"0"
"13/12/2025 10:30:00";"1228";"93,43";"97,49";"108,54";"0,2424206644";"18,75";"850";"378";"False";"0"
"13/12/2025 10:45:00";"1449";"88,9";"97,29";"102,88";"0,237532432";"20,24";"850";"599";"False";"0"
"13/12/2025 11:00:00";"1639";"94,58";"97,2";"106,43";"0,24366160639999998";"22,04";"920";"719";"False";"0"
"13/12/2025 11:15:00";"1804";"92,9";"97,09";"111,08";"0,24184875200000003";"24,25";"920";"884";"False";"0"
"13/12/2025 11:30:00";"1941";"90,52";"96,97";"115,55";"0,23928054159999998";"26,8";"920";"1021";"False";"0"
"13/12/2025 11:45:00";"2058";"84,14";"96,82";"110";"0,23239601120000003";"29,65";"920";"1138";"False";"0"
"13/12/2025 12:00:00";"2155";"91,51";"96,82";"112,83";"0,24034883080000002";"32,79";"900";"1255";"False";"0"
"13/12/2025 12:15:00";"2246";"86,39";"96,68";"113,27";"0,2348239412";"36,15";"900";"1346";"False";"0"
"13/12/2025 12:30:00";"2312";"86,43";"96,76";"110,31";"0,2348671044";"39,68";"900";"1412";"False";"0"
"13/12/2025 12:45:00";"2343";"83,69";"96,78";"112,65";"0,23191042520000002";"43,29";"900";"1443";"False";"0"
"13/12/2025 13:00:00";"2343";"86,51";"96,74";"111,03";"0,2349534308";"46,9";"900";"1443";"False";"0"
"13/12/2025 13:15:00";"2288";"84,37";"96,8";"107,98";"0,23264419960000002";"50,37";"900";"1388";"False";"0"
"13/12/2025 13:30:00";"2202";"83,97";"96,9";"102,28";"0,23221256759999997";"53,62";"900";"1302";"False";"0"
"13/12/2025 13:45:00";"2094";"84,88";"96,91";"111,38";"0,2331945304";"56,61";"900";"1194";"False";"0"
"13/12/2025 14:00:00";"1968";"78,98";"96,58";"103,53";"0,22682795840000003";"59,53";"800";"1168";"False";"0"
"13/12/2025 14:15:00";"1806";"81,6";"97,03";"90";"0,22965514800000003";"62,04";"800";"1006";"False";"0"
"13/12/2025 14:30:00";"1582";"90,83";"97,44";"88,27";"0,23961505640000003";"64";"800";"782";"False";"0"
"13/12/2025 14:45:00";"1335";"97,7";"97,62";"88,27";"0,24702833600000004";"65,33";"800";"535";"False";"0"
"13/12/2025 15:00:00";"1085";"92,11";"97,62";"91,39";"0,2409962788";"66,4";"660";"425";"False";"0"
